text,weight
가장,1.5
같아,1.5
같은,1.5
같이,1.5
것도,1.5
결혼,1.5
경우,1.5
계좌,1.5
고객,1.5
굉장히,1.5
그냥,1.5
그때,1.5
그래,1.5
그래서,1.5
그러,1.5
그런,1.5
그렇게,1.5
그리고,1.5
기억,1.5
까지,1.5
께서,1.5
나는,1.5
내가,1.5
너무,1.5
는데,1.5
니까,1.5
다른,1.5
대해서,1.5
더라,1.5
되는,1.5
들이,1.5
때문에,1.5
라고,1.5
라는,1.5
많이,1.5
말씀,1.5
먹고,1.5
면서,1.5
명의,1.5
모르,1.5
바이,1.5
보고,1.5
보면,1.5
본인,1.5
부분,1.5
사건,1.5
사람,1.5
사실,1.5
생각,1.5
생각을,1.5
생각이,1.5
선물,1.5
선생님,1.5
성격,1.5
세요,1.5
습니다,1.5
싶은,1.5
아니,1.5
아니면,1.5
아이,1.5
얘기,1.5
어떤,1.5
어떻게,1.5
어요,1.5
엄마,1.5
었는데,1.5
에는,1.5
에서,1.5
여름,1.5
여행,1.5
연락,1.5
영화,1.5
요즘,1.5
우리,1.5
운동,1.5
으로,1.5
으면,1.5
은행,1.5
음식,1.5
이나,1.5
이런,1.5
이렇게,1.5
이제,1.5
일단,1.5
있고,1.5
있는,1.5
있는데,1.5
있어,1.5
자기,1.5
적으로,1.5
전화,1.5
정도,1.5
정말,1.5
조금,1.5
좋아,1.5
좋은,1.5
지고,1.5
지금,1.5
진짜,1.5
친구,1.5
케이,1.5
키우,1.5
하게,1.5
하고,1.5
하나,1.5
하는,1.5
하는데,1.5
하면,1.5
학교,1.5
한번,1.5
한테,1.5
합니다,1.5
해서,1.5
해야,1.5
확인,1.5
드리,1.496050962759616
사람들,1.4640481174164781
하지,1.4518482721970492
사람이,1.4489535996956613
했는데,1.443914545878961
우리나라,1.4417547299452722
건강,1.4343761702078466
아무,1.4312736946021924
적인,1.4292759106409012
거나,1.426915463876774
친구들,1.3968079972523524
되고,1.38976133318396
든지,1.3895369266031536
들을,1.3869826612601186
일본,1.3824874021067441
겠습니다,1.3812596340863648
때는,1.3747496692216914
가족,1.3733499113090635
입니다,1.3671119216797045
계속,1.3598330725444057
했던,1.3582695688333923
힘들,1.3468668197043003
하면서,1.3433168231875685
겨울,1.3393450868717567
없는,1.3283622937546589
이라고,1.3203384493616952
인데,1.3177832877178863
시간,1.3100370773082124
뭔가,1.303633927794927
있습니다,1.2965504994359753
생각해,1.2919275970362916
고양,1.28415653510606
나라,1.2807096619912477
가지,1.279344756353882
대출,1.2569267848510126
기도,1.2492438705993305
들어,1.2375940331779038
있었,1.2252390701390878
하다,1.2243623419136043
많은,1.2177133979298234
사람들이,1.2106022235505
우리가,1.201091808640461
하기,1.198121356478925
이라,1.1971729952760521
가지고,1.1957010602505607
처음,1.1852822485267172
보다,1.1846236376086374
아직,1.1797068957770445
마음,1.177659594934376
금융,1.177197128846065
있어서,1.1755146129812983
생활,1.1739372333940048
나이,1.173659370628081
습니까,1.1700664211662601
었던,1.168263928950764
배우,1.1675135263400325
없어,1.166422791967884
싶어,1.1646409198080607
다시,1.1470165721889298
어디,1.1424240539031425
항상,1.1336433618388109
으니,1.1203537428725479
다니,1.1169435423272924
분들,1.1069963193906114
요리,1.102376902746832
일을,1.0974853583891597
보는,1.0948945497497446
된다,1.0800608054267187
최근,1.078016703129368
카드,1.0765946938995405
연애,1.0749135263913034
아니라,1.074379669190757
계절,1.0701212494561345
되면,1.065615058358432
농협,1.0650980254370688
알고,1.063665726851189
번호,1.06257701422165
공부,1.0624620015572683
적이,1.0553690627551209
들은,1.0539894546970148
니다,1.0525281228854666
그랬,1.0512519686058261
아이들,1.0492159797245266
지는,1.0459323629017214
있다,1.0370607236101872
