word,weight,
공동인증서,1.3,
공무집행방해죄,1.3,
공문서,1.3,
구속수사,1.3,
금융권,1.3,
금융사기범,1.3,
녹취,1.3,
담당검사,1.3,
담당수사관,1.3,
대규모피해사건,1.3,
대포통장,1.3,
도용,1.3,
명의,1.3,
무혐의,1.3,
민사소송,1.3,
법적조치,1.3,
보안프로그램,1.3,
보이스피싱,1.3,
불법거래,1.3,
불법도박,1.3,
사건번호,1.3,
사기범,1.3,
소환장,1.3,
신용등급하락,1.3,
심사관리팀,1.3,
압수수색,1.3,
연루,1.3,
위증죄,1.3,
유출,1.3,
이관,1.3,
자금세탁,1.3,
저금리,1.3,
전산이관,1.3,
전환대출,1.3,
정부정책자금,1.3,
주범,1.3,
증거자료,1.3,
지급정지,1.3,
지능범죄수사대,1.3,
채무,1.3,
채무한도,1.3,
첨단범죄수사부,1.3,
출석요구,1.3,
해킹,1.3,
형사소송,1.3,
형사처벌,1.3,
상담,1.3,
문의,1.3,
절차,1.3,
확인,1.3,
번호,1.3,
정보,1.3,
추심,1.25,
경제범죄수사팀,1.25,
OTP,1.25,
검찰,1.25,
경찰,1.25,
계좌번호,1.25,
계좌이체,1.25,
고소,1.25,
대환대출,1.25,
법원,1.25,
법적,1.25,
변호사,1.25,
소송,1.25,
소송비용,1.25,
신분증,1.25,
압류,1.25,
위조,1.25,
인증번호,1.25,
차용증,1.25,
파산,1.25,
원금,1.2,
공문,1.2,
IP,1.2,
감독원,1.2,
개인정보유출,1.2,
검찰청,1.2,
계좌추적,1.2,
금융거래,1.2,
금일부,1.2,
다운로드,1.2,
대면조사,1.2,
동결처리,1.2,
마이너스통장,1.2,
범죄,1.2,
변제,1.2,
보이스,1.2,
불법,1.2,
사기단,1.2,
아이피,1.2,
압수수사,1.2,
영장,1.2,
예금자보호법,1.2,
은행권,1.2,
입출금,1.2,
자산보호조치,1.2,
조건부,1.2,
종결,1.2,
지검,1.2,
차명계좌,1.2,
참고인,1.2,
피해자,1.2,
형법,1.2,
안내,1.2,
등록,1.2,
이용,1.2,
지원,1.2,
진행,1.2,
보증,1.15,
사실대로,1.15,
수사관,1.15,
압수물품,1.15,
진술,1.15,
개인정보,1.12,
거래,1.12,
공증,1.12,
국세청,1.12,
금리,1.12,
금융,1.12,
대리인,1.12,
대출한도,1.12,
면책,1.12,
미납,1.12,
보상,1.12,
보안등급,1.12,
보증금,1.12,
보험,1.12,
부채,1.12,
불이행,1.12,
사건,1.12,
사기,1.12,
상환,1.12,
세무서,1.12,
송금,1.12,
수수료,1.12,
신용등급,1.12,
신용카드,1.12,
연체료,1.12,
예금,1.12,
입금확인,1.12,
자동이체,1.12,
재산,1.12,
지원금,1.12,
채권,1.12,
청구,1.12,
체납,1.12,
통장,1.12,
해결,1.12,
환급,1.12,
이자,1.1,
금융기관,1.1,
비밀번호,1.1,
http,1.1,
가상화폐,1.1,
가해자,1.1,
검거,1.1,
검사,1.1,
검사님,1.1,
경찰청,1.1,
계약,1.1,
계약위반,1.1,
계좌,1.1,
고객님,1.1,
고객센터,1.1,
고금리,1.1,
공인인증서,1.1,
공증서,1.1,
귀하,1.1,
금감원,1.1,
금융감독원,1.1,
금융범죄,1.1,
금융사,1.1,
금전,1.1,
납부,1.1,
녹음,1.1,
다운,1.1,
담당자,1.1,
담보,1.1,
대면수사,1.1,
대출,1.1,
대출금,1.1,
도박,1.1,
동의,1.1,
모니터링,1.1,
발설,1.1,
보안카드,1.1,
보험료,1.1,
복구,1.1,
사무관,1.1,
상담원,1.1,
서류,1.1,
세금,1.1,
송장,1.1,
수사,1.1,
시간부,1.1,
신용등급변동,1.1,
심사과,1.1,
연관성,1.1,
연체,1.1,
예금자,1.1,
예치,1.1,
완납,1.1,
위약금,1.1,
은행,1.1,
인출,1.1,
입금,1.1,
입증,1.1,
재발급,1.1,
전화,1.1,
전화번호,1.1,
접수,1.1,
제출,1.1,
주식,1.1,
지급,1.1,
지연,1.1,
청약,1.1,
출금,1.1,
카드,1.1,
캐피탈,1.1,
팀장,1.1,
피해접수,1.1,
혐의,1.1,
협조,1.1,
확정,1.1,
긴급,1.1,
금융사기,1.1,
피해,1.1,
부정거래,1.1,
정부지원자금,1.3,
보안승급,1.1,
금융거래정보유출,1.3,
